Plant_ID,Pcode,State,Customer_Id,Scode,Price,Wk0,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22,Wk23,Wk24,Wk25,Wk26,Wk27,Wk28,Wk29,Wk30,Wk31,Wk32,Wk33,Wk34,Wk35,Wk36,Wk37,Wk38,Wk39,Wk40,Wk41,Wk42,Wk43,Wk44,Wk45,Wk46,Wk47,Wk48,Wk49,Wk50,Wk51,Wk52,Wk53,Wk54,Wk55,Wk56,Wk57,Wk58,Wk59,Wk60,Wk61,Wk62,Wk63,Wk64,Wk65,Wk66,Wk67,Wk68,Wk69,Wk70,Wk71,Wk72,Wk73,Wk74,Wk75,Wk76,Wk77,Wk78,Wk79,Wk80,Wk81,Wk82,Wk83,Wk84,Wk85,Wk86,Wk87,Wk88,Wk89,Wk90,Wk91,Wk92,Wk93,Wk94,Wk95,Wk96,Wk97,Wk98,Wk99,Wk100,Wk101,Wk102,Wk103,
400,Los Angeles,CA,10,SKU1,$24.00 ,23,48,47,42,22,29,47,23,26,26,27,50,22,22,48,48,39,42,27,30,22,29,23,38,50,29,28,45,49,37,25,45,35,24,20,23,27,24,37,42,27,21,28,45,29,33,34,58,136,179,358,32,28,24,48,22,30,50,29,45,23,37,21,22,40,44,25,21,22,35,38,39,44,33,33,22,30,39,36,41,42,37,47,45,22,39,35,43,30,24,31,44,27,21,31,37,33,40,125,133,229,381,21,31,
400,Los Angeles,CA,0,SKU2,$63.00 ,23,22,25,40,32,26,30,50,29,40,41,29,32,35,30,20,21,31,34,40,22,46,31,44,34,24,48,26,41,23,26,44,29,21,39,48,34,32,39,36,41,45,20,24,47,24,32,66,138,328,409,29,34,39,29,22,43,46,26,24,34,37,48,41,26,34,44,38,46,43,47,50,28,34,29,41,42,22,47,30,22,26,22,31,38,41,22,41,21,45,38,47,39,21,20,20,25,50,75,95,231,590,25,33,
400,Los Angeles,CA,17,SKU3,$93.00 ,7,11,8,9,10,8,7,13,12,6,14,9,4,7,12,8,7,11,10,7,7,13,11,8,10,8,14,5,3,13,11,9,7,8,7,9,6,12,12,9,3,5,6,14,5,5,7,18,30,67,123,7,21,17,32,33,28,14,26,34,34,24,7,23,6,33,1,25,27,3,13,23,10,31,28,8,6,16,29,25,26,31,14,13,15,4,32,3,8,23,12,1,11,24,9,17,13,30,67,188,267,330,35,33,
400,Los Angeles,CA,34,SKU4,$48.00 ,50,31,50,33,26,27,42,43,24,46,35,34,28,21,21,37,32,20,28,23,26,27,46,46,22,48,43,26,50,42,29,25,30,43,44,45,25,46,48,33,20,45,40,31,22,30,43,73,204,331,339,48,25,41,43,44,44,33,41,41,30,37,29,40,49,41,47,28,24,49,35,48,49,44,20,42,34,33,34,22,43,46,39,41,45,28,35,49,28,40,38,27,46,49,31,23,26,23,92,126,205,357,30,34,
400,Los Angeles,CA,42,SKU5,$62.00 ,8,5,13,11,6,7,9,14,9,9,11,18,8,4,13,8,10,15,6,13,11,6,10,9,8,12,8,9,13,3,5,3,5,5,9,7,4,8,8,5,5,8,7,11,7,12,6,25,45,81,117,9,4,14,12,9,16,33,18,15,24,1,11,33,21,21,18,23,23,34,9,23,1,26,32,28,35,3,27,29,30,28,13,18,21,29,21,33,17,19,2,32,13,18,19,9,15,21,93,243,710,1872,33,10,
400,Los Angeles,CA,22,SKU6,$80.00 ,20,39,27,31,46,37,43,36,47,32,34,45,23,30,22,41,41,37,21,32,23,40,50,21,29,47,24,29,31,33,40,41,28,42,25,40,49,32,43,42,35,36,28,49,34,21,22,87,238,294,819,47,31,24,24,20,36,21,41,26,34,39,35,25,25,35,40,34,39,42,47,49,26,44,31,22,36,27,46,44,39,21,21,44,41,45,33,24,20,40,48,40,46,33,37,42,49,49,120,140,300,697,39,47,
400,Los Angeles,CA,18,SKU7,$95.00 ,4,8,3,7,8,7,2,3,10,3,5,2,3,4,5,3,7,10,0,3,7,5,1,5,7,5,2,4,3,1,3,2,2,4,2,6,4,5,1,3,5,8,2,3,3,6,2,10,12,21,48,1,12,12,6,16,11,30,1,34,35,21,20,17,27,2,8,3,34,33,10,33,10,18,24,5,4,1,5,7,14,25,26,13,20,28,12,20,27,25,9,22,6,22,16,22,25,32,53,89,199,587,28,4,
400,Los Angeles,CA,18,SKU8,$15.00 ,8,6,10,9,6,8,7,5,10,10,8,8,15,9,5,11,10,7,13,9,12,11,5,11,11,12,3,10,12,9,9,10,8,9,8,9,15,6,7,8,3,9,10,14,4,8,8,37,87,130,194,9,15,28,2,7,31,26,15,22,28,10,16,15,30,4,7,9,19,18,9,21,8,17,8,16,4,2,16,8,1,17,31,3,22,33,25,11,2,30,24,23,11,23,7,19,19,4,88,205,550,1333,25,33,
400,Los Angeles,CA,42,SKU9,$55.00 ,14,9,10,7,11,15,12,7,13,12,15,15,16,10,9,9,13,8,10,18,18,17,10,16,14,10,4,7,7,10,3,13,9,7,9,8,7,9,15,8,9,8,11,5,13,3,7,50,53,89,96,13,28,19,21,3,15,17,31,26,25,4,16,5,32,27,7,21,33,17,31,15,6,18,3,8,31,18,7,11,9,34,27,8,19,34,27,7,17,27,10,26,29,3,18,7,19,5,52,63,112,174,28,11,
400,Los Angeles,CA,43,SKU10,$69.00 ,22,19,19,29,20,16,26,20,24,20,31,22,23,19,15,19,22,23,20,33,16,23,23,16,25,27,12,15,15,11,14,29,23,12,16,9,23,22,15,18,13,17,14,17,11,24,13,41,97,258,282,20,16,18,12,20,17,18,24,13,15,8,3,31,23,22,21,9,20,1,16,19,13,22,10,15,34,1,29,26,21,32,34,32,26,7,1,2,32,12,24,34,11,4,10,25,34,7,41,107,226,503,19,24,
